date;heat_demand;temp_feed_flow;temp_back_flow;hp_P_max;hp_P_min;hp_c_1;hp_c_0;ice_P_max_woDH;ice_eta_el_max;ice_P_min_woDH;ice_eta_el_min;ice_H_L_FG_share_max;ice_H_L_FG_share_min;ice_Q_in;el_spot_price;gas_price;co2_price;ef_om;ef_dm
03.01.2019 23:00;3.610662607;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;49.98;24.134;22.95;0.562781666;0.726058638
04.01.2019 00:00;3.9644243;68;38;1.361681944;0.526368781;3.572932605;-0.603293672;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;50.73;24.134;22.95;0.55460787;0.723891653
04.01.2019 01:00;4.642394914;73;38;1.394728463;0.541826197;3.265289612;-0.555313704;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;47.11;24.134;22.95;0.539455014;0.724735774
04.01.2019 02:00;5.024427526;76;38;1.419794093;0.549925435;3.061371301;-0.504124643;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;47.07;24.134;22.95;0.524725572;0.72696291
04.01.2019 03:00;5.101294329;78;37;1.435574661;0.554972657;2.925275651;-0.467805117;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;46.94;24.134;22.95;0.507503574;0.725711414
04.01.2019 04:00;4.989482031;79;37;1.443091091;0.55729642;2.856937893;-0.44878461;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;47;24.134;22.95;0.490256006;0.722506688
04.01.2019 05:00;4.232830835;73;37;1.394728463;0.541826197;3.265289612;-0.555313704;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;46.91;24.134;22.95;0.47814502;0.718648956
04.01.2019 06:00;4.30451481;71;37;1.379773466;0.535918619;3.394941274;-0.58173481;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;49.59;24.134;22.95;0.47074849;0.714627629
04.01.2019 07:00;4.385958443;72;37;1.386442527;0.539035383;3.333703477;-0.571657432;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;55.32;24.134;22.95;0.466413136;0.717090846
04.01.2019 08:00;4.743028435;73;37;1.394728463;0.541826197;3.265289612;-0.555313704;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;55.78;24.134;22.95;0.459433901;0.721387603
04.01.2019 09:00;4.804088557;73;37;1.394728463;0.541826197;3.265289612;-0.555313704;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;55.52;24.134;22.95;0.450649451;0.719081147
04.01.2019 10:00;4.544151823;72;37;1.386442527;0.539035383;3.333703477;-0.571657432;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;55.23;24.134;22.95;0.437464025;0.720964394
04.01.2019 11:00;4.095163038;70;37;1.373104405;0.532801855;3.456942779;-0.591818488;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;53.58;24.134;22.95;0.426513141;0.723884872
04.01.2019 12:00;3.587586854;68;37;1.361681944;0.526368781;3.572932605;-0.603293672;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;51.74;24.134;22.95;0.415020792;0.723316357
04.01.2019 13:00;3.354538843;67;37;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;51.6;24.134;22.95;0.407339914;0.720448521
04.01.2019 14:00;3.525590493;67;37;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;51.41;24.134;22.95;0.415930256;0.719235648
04.01.2019 15:00;3.644049052;67;37;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;51.69;24.134;22.95;0.422698919;0.718391001
04.01.2019 16:00;3.766284783;67;37;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;52.59;24.134;22.95;0.42567394;0.721768201
04.01.2019 17:00;3.71668301;67;37;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;54.66;24.134;22.95;0.424459056;0.724621381
04.01.2019 18:00;3.603721508;67;37;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;54.1;24.134;22.95;0.421578653;0.723822056
04.01.2019 19:00;3.538113027;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;51.89;24.134;22.95;0.413254813;0.716828778
04.01.2019 20:00;3.35858052;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;46.58;24.134;22.95;0.40612679;0.712935397
04.01.2019 21:00;3.259161423;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;45.43;24.134;22.95;0.38976103;0.703780435
04.01.2019 22:00;3.142846421;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;43.96;24.134;22.95;0.378743149;0.696611165
04.01.2019 23:00;3.04177426;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;31.41;24.134;22.95;0.347545977;0.676372291
05.01.2019 00:00;2.990471718;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;26.9;24.134;22.95;0.321157144;0.658893842
05.01.2019 01:00;3.055929315;66;37;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;25.12;24.134;22.95;0.305030189;0.644239613
05.01.2019 02:00;3.075766905;66;36;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;24.12;24.134;22.95;0.297397965;0.63936812
05.01.2019 03:00;3.081975605;66;36;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;22.04;24.134;22.95;0.285707681;0.63065772
05.01.2019 04:00;3.175346622;66;36;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;18.37;24.134;22.95;0.281445584;0.629018213
